segment,time_s,min_speed_mph,max_speed_mph,likely_speed_mph,min_position_ft,max_position_ft,likely_position_ft
1,0.0,-9.44,-9.44,-9.44,42998.2,42998.2,42998.2
1,0.12605042016806722,-9.818151260504202,-8.809747899159664,-9.692100840336133,42996.4198307116,42996.51304467954,42996.43148245759
1,0.25210084033613445,-10.196302521008404,-8.179495798319328,-9.944201680672268,42994.569750947245,42994.94260681901,42994.61635793122
1,0.37815126050420167,-10.574453781512604,-7.549243697478991,-10.196302521008402,42992.64976070694,42993.4886864184,42992.75462642087
1,0.5042016806722689,-10.952605042016808,-6.918991596638655,-10.448403361344537,42990.65985999068,42992.15128347772,42990.84628792656
1,0.6302521008403361,-11.330756302521008,-6.2887394957983185,-10.70050420168067,42988.60004879846,42990.93039799696,42988.891342448274
1,0.7563025210084033,-11.708907563025209,-5.658487394957983,-10.952605042016806,42986.470327130286,42989.82602997613,42986.88978998602
1,0.8823529411764706,-12.087058823529413,-5.028235294117647,-11.204705882352942,42984.27069498615,42988.83817941522,42984.84163053979
1,1.0084033613445378,-12.465210084033613,-4.397983193277311,-11.456806722689075,42982.00115236607,42987.96684631424,42982.7468641096
1,1.134453781512605,-12.843361344537815,-3.7677310924369753,-11.708907563025209,42979.66169927004,42987.21203067318,42980.60549069543
1,1.2605042016806722,-13.221512605042017,-3.1374789915966383,-11.961008403361344,42977.25233569804,42986.573732492056,42978.417510297295
1,1.3865546218487395,-13.599663865546217,-2.5072268907563022,-12.213109243697478,42974.77306165009,42986.051951770845,42976.18292291519
1,1.5126050420168067,-13.97781512605042,-1.8769747899159663,-12.465210084033613,42972.22387712619,42985.646688509565,42973.90172854911
1,1.638655462184874,-14.355966386554622,-1.2467226890756304,-12.717310924369746,42969.60478212633,42985.35794270821,42971.57392719907
1,1.7647058823529411,-14.734117647058824,-0.6164705882352945,-12.969411764705882,42966.915776650516,42985.18571436678,42969.199518865054
1,1.8907563025210083,-15.112268907563024,-0.0,-13.221512605042017,42964.15686069875,42985.1299756288,42966.778503547066
1,2.0168067226890756,-15.490420168067228,-0.0,-13.47361344537815,42961.32803427102,42985.1299756288,42964.31088124511
1,2.142857142857143,-15.868571428571428,-0.0,-13.725714285714286,42958.429297367344,42985.1299756288,42961.79665195919
1,2.26890756302521,-16.24672268907563,-0.0,-13.97781512605042,42955.46064998771,42985.1299756288,42959.23581568929
1,2.3949579831932772,-16.624873949579833,-0.0,-14.229915966386553,42952.42209213212,42985.1299756288,42956.62837243542
1,2.5210084033613445,-17.003025210084033,-0.0,-14.482016806722688,42949.313623800575,42985.1299756288,42953.97432219759
1,2.6470588235294117,-17.381176470588233,-0.0,-14.734117647058824,42946.13524499308,42985.1299756288,42951.27366497578
1,2.773109243697479,-17.759327731092437,-0.0,-14.986218487394957,42942.88695570962,42985.1299756288,42948.52640077
1,2.899159663865546,-18.13747899159664,-0.0,-15.238319327731093,42939.56875595021,42985.1299756288,42945.73252958026
1,3.0252100840336134,-18.515630252100838,-0.0,-15.490420168067228,42936.18064571485,42985.1299756288,42942.89205140654
1,3.1512605042016806,-18.89378151260504,-0.0,-15.742521008403362,42932.72262500353,42979.82385706745,42940.00496624885
1,3.277310924369748,-19.271932773109246,-0.0,-15.994621848739495,42929.19469381625,42968.731394882576,42937.0712741072
1,3.403361344537815,-19.650084033613442,-0.0,-16.24672268907563,42925.59685215302,42957.63893269771,42934.09097498157
1,3.5294117647058822,-20.028235294117646,-0.0,-16.498823529411762,42921.92910001384,42946.54647051283,42931.06406887197
1,3.6554621848739495,-20.406386554621847,-0.0,-16.7509243697479,42918.191437398695,42935.45400832796,42927.99055577841
1,3.7815126050420167,-20.78453781512605,-0.0,-17.003025210084033,42914.3838643076,42924.36154614308,42924.36154614308
1,3.907563025210084,-21.16268907563025,-0.0,-17.25512605042017,42910.50638074055,42913.26908395821,42913.26908395821
1,4.033613445378151,-21.540840336134455,-0.0,-17.507226890756304,42904.367804235444,42904.367804235444,42904.367804235444
1,4.159663865546218,-21.91899159663865,-0.0,-17.759327731092437,42896.81292088352,42896.81292088352,42896.81292088352
1,4.285714285714286,-22.297142857142855,-0.0,-18.01142857142857,42889.223082293625,42889.223082293625,42889.223082293625
1,4.411764705882353,-22.67529411764706,-0.0,-18.263529411764704,42881.59828846576,42881.59828846576,42881.59828846576
1,4.53781512605042,-23.05344537815126,-0.0,-18.515630252100838,42873.93853939991,42873.93853939991,42873.93853939991
1,4.663865546218487,-23.43159663865546,-0.0,-18.76773109243697,42866.24383509607,42866.24383509607,42866.24383509607
1,4.7899159663865545,-23.809747899159664,-0.0,-19.01983193277311,42858.5226319674,42858.5226319674,42858.5226319674
1,4.915966386554622,-24.187899159663868,-0.0,-19.271932773109246,42850.818536356295,42850.818536356295,42850.818536356295
1,5.042016806722689,-24.566050420168065,-0.0,-19.52403361344538,42843.13774423719,42843.13774423719,42843.13774423719
1,5.168067226890756,-24.94420168067227,-0.0,-19.776134453781513,42835.480255610055,42835.480255610055,42835.480255610055
1,5.294117647058823,-25.32235294117647,-0.0,-20.028235294117646,42827.846070474916,42827.846070474916,42827.846070474916
1,5.420168067226891,-25.700504201680676,-0.0,-20.28033613445378,42820.23518883176,42820.23518883176,42820.23518883176
1,5.546218487394958,-26.078655462184873,-0.0,-20.532436974789913,42812.647610680586,42812.647610680586,42812.647610680586
1,5.672268907563025,-26.456806722689073,-0.0,-20.784537815126047,42805.083336021395,42805.083336021395,42805.083336021395
